Year,Banks,Gross_NPAs_Addition_during_the_Year,Gross_NPAs_Closing_Balance,Net_NPA_Closing_Balance,Cash_in_hand,Balances_with_RBI,Money_at_call_and_short_notice,Advances,Total_Assets,Deposits,Credit_-_Deposit_Ratio,Ratio_of_demand_&_savings_bank_deposits_to_total_deposits,Ratio_of_priority_sector_advances_to_total_advances,Ratio_of_net_interest_income_to_total_assets_(Net_Interest_Margin),Return_on_assets,Return_on_equity,Cost_of_deposits,Business_per_employee(in_Rupees_Lakh),Capital_adequacy_ratio,Ratio_of_net_NPA_To_net_advances,Interest_Expended,Operating_Expenses,Net_Interest_Income,Provisions_and_Contingencies,Operating_Profit,Profit_(Loss)_during_the_year,Category,PCR,Credit_Growth_(%),GDP,Growth_rate,Repo_rate,GNPA_Ratio,Next_Year,Next_GNPA_Ratio,Consecutive_Year,Delta_GNPA_Ratio,Deterioration_Flag,Credit_Growth_Recorded_ORIGINAL,PCR_FLAG,PCR_flow_over_stock_check,GDP_ORIGINAL,Growth_rate_ORIGINAL,Real_GDP_Growth_pct,GVA_Growth_pct,Investment_Rate_pct_of_GDP,PCR_stock_based,PCR_ORIGINAL_UNRELIABLE
2005,ALLAHABAD BANK,1418.46,1284.27,270.7,220.9382,2206.222,,21150.8235,45144.9299,40762.0743,51.888487,38.689881,43.399597,3.416536,1.33,27.930545,4.893332,282,12.53,1.28,1821.56,1070.13,1364.04,391.9907,933.7851,541.7944,Public Sector Bank,78.9218777982823,,14.1,2.6,6,6.071962162608,2006,4.06147620942185,TRUE,-2.01048595318615,0,1.94293876886411,OK,30.5224524438008,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,78.9218777982823,30.5224524438008
2006,ALLAHABAD BANK,1284.27,1183.83,246.09,220.927,2441.1309,,29147.7763,55291.99,48499.6873,60.098895,39.275783,41.910052,3.14117,1.42,23.670933,4.740091,336,13.37,0.84,2189.8,1035.75,1577.45,318.0231,1024.1485,706.1254,Public Sector Bank,79.2123869136616,37.8091793919986,14,3.9,6.5,4.06147620942185,2007,2.64855674086281,TRUE,-1.41291946855904,0,37.8091793919986,OK,26.863916271762,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,79.2123869136616,26.863916271762
2007,ALLAHABAD BANK,1183.83,1093.59,440.19,284.0703,3783.8697,152.044,41290.0348,67663.7413,59543.658,69.344135,37.974641,39.387922,2.847765,1.26,18.486952,5.578119,495,12.52,1.07,3133.1177,1027.2348,1750.7451,349.7711,1099.9124,750.1413,Public Sector Bank,59.7481688749897,41.6575809249641,17.1,7.8,7.75,2.64855674086281,2008,2.03238239554637,TRUE,-0.61617434531644,0,22.3616123027401,OK,31.9837507658263,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,59.7481688749897,31.9837507658263
2008,ALLAHABAD BANK,1093.59,1010.51,399.81,320.3462,5968.509,42.4643,49720.4661,82939.3236,71616.3831,69.426106,36.037483,36.940171,2.220853,1.32,20.102179,6.565991,604,11.99,0.8,4498.8795,1157.5834,1672.3364,504.7679,1479.5103,974.7424,Public Sector Bank,60.4348299373584,20.417593108931,15.1,7.5,7.75,2.03238239554637,2009,1.83370351100729,TRUE,-0.198678884539078,0,-2.72795643781261,OK,49.9517966175495,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,60.4348299373584,49.9517966175496
2009,ALLAHABAD BANK,1010.51,1078.25,422.11,359.807,4755.5716,639.1026,58801.7634,97648.0078,84971.7887,69.201513,34.596838,34.752393,2.390718,0.9,13.882386,6.240056,706,13.11,0.72,5206.0613,1399.4384,2158.6666,1132.5543,1901.1525,768.5982,Public Sector Bank,60.852306978901,18.26470669389,12.6,10.2,5,1.83370351100729,2010,1.70630848053554,TRUE,-0.127395030471752,0,7.63105680158358,ABOVE_100_SUSPECT,105.036336656619,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,60.852306978901,105.03633665662
2010,ALLAHABAD BANK,1078.25,1221.8,470.15,379.8799,6803.8985,920.4491,71604.8718,121699.213,106055.754,67.516254,34.497638,33.9074,2.416697,1.16,19.140603,5.593344,845,13.62,0.66,5718.7209,1617.8316,2650.4793,1342.2229,2548.55,1206.3271,Public Sector Bank,61.5198886888198,21.773340899501,15.5,13.9,5,1.70630848053554,2011,1.76013026895101,TRUE,0.0538217884154688,0,15.8299911859343,ABOVE_100_SUSPECT,109.856187592077,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,61.5198886888198,109.856187592077
2011,ALLAHABAD BANK,1221.8,1647.92,736.37,356.7098,7544.2183,1869.0571,93624.8884,151286.3609,131887.1603,70.98863,33.480477,32.858496,2.947018,1.11,18.651029,5.462086,1063,12.96,0.79,6992.2242,2338.3021,4022.4675,1631.473,3054.5781,1423.1051,Public Sector Bank,55.3151852031652,30.7521206957876,19.9,10,6.75,1.76013026895101,2012,1.85251533723277,TRUE,0.0923850682817626,0,15.1613885495202,OK,99.0019539783485,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,55.3151852031652,99.0019539783485
2012,ALLAHABAD BANK,1647.92,2058.98,1091.7,391.0347,8321.4105,4146.9434,111145.0987,182934.5678,159593.0804,69.642806,30.494858,33.646495,3.089362,1.02,19.635928,6.685099,1217,12.83,0.98,10360.6301,2691.3887,5162.6475,1903.1504,3769.938,1866.7876,Public Sector Bank,46.9786010548913,18.7131975262253,14.4,8.2,8.5,1.85251533723277,2013,3.96710469150583,TRUE,2.11458935427306,1,132.360558887574,OK,92.431708904409,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,46.9786010548913,92.431708904409
2013,ALLAHABAD BANK,2058.98,5136.99,4126.76,524.119,7284.1028,2306.2949,129489.6505,204373.1889,178741.6025,72.445166,30.731321,30.429799,2.512943,0.64,10.844085,7.121973,1373,11.03,3.19,12569.2806,2958.1009,4866.4112,2200.0087,3385.22,1185.2113,Public Sector Bank,19.6657965072932,16.5050479189506,13.8,11.2,7.5,3.96710469150583,2014,5.84612735622265,TRUE,1.87902266471682,1,-0.238198461883421,OK,42.8268051913669,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,19.6657965072932,42.8268051913669
2014,ALLAHABAD BANK,5136.99,8068.04,5721.81,539.2339,8295.2116,3585.1984,138006.5727,220434.2831,190842.8083,72.314264,31.347504,33.812824,2.500578,0.57,10.124038,6.956634,1350,9.96,4.15,13435.3608,3456.6395,5311.3217,2848.4114,4020.4333,1172.0219,Public Sector Bank,29.0805449650721,6.57729955028334,13,11.9,8,5.84612735622265,2015,5.5765519427174,TRUE,-0.269575413505256,0,45.8618876782217,OK,35.3048745420201,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,29.0805449650721,35.3048745420201
2015,ALLAHABAD BANK,8068.04,8357.96,5978.89,594.2902,9065.9328,4218.7269,149876.843,227096.4815,193424.047,77.486148,33.560309,35.969306,2.760871,0.29,5.080321,6.727176,1430,10.45,3.99,13538.2421,3714.1732,6177.8746,3838.8092,4459.7136,620.9044,Public Sector Bank,28.4647210563343,8.60123548304015,11,6.5,7.5,5.5765519427174,2016,10.0967138386902,TRUE,4.52016189597284,1,12.4443544132328,OK,45.9299781286343,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,28.4647210563343,45.9299781286343
2016,ALLAHABAD BANK,8357.97,15384.57,10292.51,613.7051,8857.4334,7137.8756,152372.0514,239825.3646,200644.3979,75.9413434886636,35.904829017905,41.1459971982762,2.52654385279575,-0.33,-5.56643143083773,6.24097831691167,1485,11.02,6.76,12986.4529,3674.7163,5898.4926,4877.2111,4133.9028,-743.3083,Public Sector Bank,33.0984876405385,1.66483917732374,10.5,5.1,6.75,10.0967138386902,2017,13.7230245932983,TRUE,3.62631075460804,1,13.6729086929494,OK,31.7019656707987,10.5,5.1,7.99625378567371,8.02848944993222,34.4549951026575,33.0984876405385,31.7019656707987
2017,ALLAHABAD BANK,15384.57,20687.83,13433.51,582.0178,8003.7802,7469.2785,150752.6993,237037.8832,201870.2157,74.6780295336059,45.3748582882205,43.3679863137283,2.21741978413795,-0.13,-2.21093913327217,5.84289439572288,1503,11.45,8.92,12373.3636,4064.592,5287.03,4180.2851,3866.7691,-313.516,Public Sector Bank,35.0656400405456,-1.06276189440342,11.8,4.4,6.25,13.7230245932983,2018,17.468538734141,TRUE,3.74551414084268,1,91.476534801656,OK,20.2064938662006,11.8,4.4,8.256306,7.972023,34.943218,35.0656400405456,20.2064938662006
2018,ALLAHABAD BANK,20687.83,26562.79,12229.13,618.8892,8672.0768,6591.5341,152060.7442,252714.3103,213603.8278,71.1882112629444,46.0756334348799,40.9475833671476,1.93256506568357,-1.96,-38.0574597906527,5.22777654580484,1586,8.69,8.04,11626.1027,3986.6261,4732.3899,8112.6919,3438.324,-4674.3679,Public Sector Bank,53.9614249858543,0.867675939517976,11,2.2,6,17.468538734141,2019,20.1844760634152,TRUE,2.71593732927424,1,14.4240194323972,OK,30.5415654756146,11,2.2,6.795383,6.231181,37.452479,53.9614249858543,30.5415654756146
2019,ALLAHABAD BANK,26562.79,28704.78,7419.31,545.0929,9127.2287,1241.493,142212.163,248575.7709,214334.0675,66.3507041408618,49.4882658352947,39.6935316988323,2.19865124273279,-3.48,-85.922842742547,4.98161004999456,1628,12.51,5.22,11353.4834,4444.001,5510.8103,11100.9748,2767.0136,-8333.9612,Public Sector Bank,74.1530504675528,-6.4767414179208,10.6,0.7,6.25,20.1844760634152,2020,19.4781328560367,TRUE,-0.706343207378534,0,-2.86277559019845,OK,38.6729137098421,10.6,0.7,6.45,5.81,37.347347,74.1530504675528,38.6729137098421
